[4811.9468, 'N', 300.8857, 'W', 131042.0]
[4811.9472, 'N', 300.8841, 'W', 131043.0]
[4811.9484, 'N', 300.884, 'W', 131044.0]
[4811.949, 'N', 300.884, 'W', 131045.0]
[4811.9498, 'N', 300.8847, 'W', 131046.0]
[4811.9505, 'N', 300.8856, 'W', 131047.0]
[4811.9509, 'N', 300.8863, 'W', 131048.0]
[4811.9515, 'N', 300.8872, 'W', 131049.0]
[4811.9518, 'N', 300.8876, 'W', 131050.0]
[4811.9523, 'N', 300.8877, 'W', 131051.0]
[4811.9528, 'N', 300.888, 'W', 131052.0]
[4811.9527, 'N', 300.8886, 'W', 131053.0]
[4811.9528, 'N', 300.8891, 'W', 131054.0]
[4811.9531, 'N', 300.8891, 'W', 131055.0]
[4811.9532, 'N', 300.8893, 'W', 131056.0]
[4811.9536, 'N', 300.8893, 'W', 131057.0]
[4811.9541, 'N', 300.8887, 'W', 131058.0]
[4811.9542, 'N', 300.8876, 'W', 131059.0]
[4811.9544, 'N', 300.8867, 'W', 131100.0]
[4811.9544, 'N', 300.8866, 'W', 131101.0]
[4811.9548, 'N', 300.8866, 'W', 131102.0]
[4811.9552, 'N', 300.8871, 'W', 131103.0]
[4811.9557, 'N', 300.8873, 'W', 131104.0]
[4811.9562, 'N', 300.8871, 'W', 131105.0]
[4811.9566, 'N', 300.887, 'W', 131106.0]
[4811.9569, 'N', 300.8875, 'W', 131107.0]
[4811.9572, 'N', 300.8882, 'W', 131108.0]
[4811.9575, 'N', 300.8889, 'W', 131109.0]
[4811.9577, 'N', 300.8897, 'W', 131110.0]
[4811.9581, 'N', 300.8901, 'W', 131111.0]
[4811.9586, 'N', 300.8904, 'W', 131112.0]
[4811.9589, 'N', 300.8907, 'W', 131113.0]
[4811.9594, 'N', 300.891, 'W', 131114.0]
[4811.9598, 'N', 300.8913, 'W', 131115.0]
[4811.9602, 'N', 300.8918, 'W', 131116.0]
[4811.9606, 'N', 300.8925, 'W', 131117.0]
[4811.961, 'N', 300.8929, 'W', 131118.0]
[4811.9615, 'N', 300.8935, 'W', 131119.0]
[4811.9619, 'N', 300.8939, 'W', 131120.0]
[4811.9623, 'N', 300.8944, 'W', 131121.0]
[4811.9629, 'N', 300.8945, 'W', 131122.0]
[4811.9634, 'N', 300.895, 'W', 131123.0]
[4811.9639, 'N', 300.8955, 'W', 131124.0]
[4811.9645, 'N', 300.8959, 'W', 131125.0]
[4811.9651, 'N', 300.896, 'W', 131126.0]
[4811.9656, 'N', 300.8962, 'W', 131127.0]
[4811.9662, 'N', 300.8966, 'W', 131128.0]
[4811.9667, 'N', 300.897, 'W', 131129.0]
[4811.967, 'N', 300.8978, 'W', 131130.0]
[4811.9674, 'N', 300.8986, 'W', 131131.0]
[4811.9677, 'N', 300.8994, 'W', 131132.0]
[4811.9681, 'N', 300.9002, 'W', 131133.0]
[4811.9685, 'N', 300.9008, 'W', 131134.0]
[4811.9689, 'N', 300.9016, 'W', 131135.0]
[4811.9694, 'N', 300.9021, 'W', 131136.0]
[4811.9699, 'N', 300.9027, 'W', 131137.0]
[4811.9704, 'N', 300.9035, 'W', 131138.0]
[4811.9708, 'N', 300.9043, 'W', 131139.0]
[4811.9712, 'N', 300.9048, 'W', 131140.0]
[4811.9717, 'N', 300.9055, 'W', 131141.0]
[4811.9724, 'N', 300.9058, 'W', 131142.0]
[4811.9731, 'N', 300.9059, 'W', 131143.0]
[4811.9737, 'N', 300.9061, 'W', 131144.0]
[4811.9742, 'N', 300.9065, 'W', 131145.0]
[4811.9747, 'N', 300.9071, 'W', 131146.0]
[4811.9754, 'N', 300.9072, 'W', 131147.0]
[4811.976, 'N', 300.9075, 'W', 131148.0]
[4811.9765, 'N', 300.908, 'W', 131149.0]
[4811.977, 'N', 300.9085, 'W', 131150.0]
[4811.9775, 'N', 300.9091, 'W', 131151.0]
[4811.978, 'N', 300.9095, 'W', 131152.0]
[4811.9785, 'N', 300.91, 'W', 131153.0]
[4811.9791, 'N', 300.9106, 'W', 131154.0]
[4811.9794, 'N', 300.9111, 'W', 131155.0]
[4811.9799, 'N', 300.9117, 'W', 131156.0]
[4811.9803, 'N', 300.9123, 'W', 131157.0]
[4811.9808, 'N', 300.9128, 'W', 131158.0]
[4811.9813, 'N', 300.9133, 'W', 131159.0]
[4811.9816, 'N', 300.914, 'W', 131200.0]
[4811.982, 'N', 300.9146, 'W', 131201.0]
[4811.9825, 'N', 300.9152, 'W', 131202.0]
[4811.9829, 'N', 300.9158, 'W', 131203.0]
[4811.9834, 'N', 300.9164, 'W', 131204.0]
[4811.9838, 'N', 300.9171, 'W', 131205.0]
[4811.9842, 'N', 300.9177, 'W', 131206.0]
[4811.9847, 'N', 300.9183, 'W', 131207.0]
[4811.9851, 'N', 300.9189, 'W', 131208.0]
[4811.9855, 'N', 300.9193, 'W', 131209.0]
[4811.9858, 'N', 300.9197, 'W', 131210.0]
[4811.986, 'N', 300.9202, 'W', 131211.0]
[4811.9864, 'N', 300.9209, 'W', 131212.0]
[4811.9869, 'N', 300.9216, 'W', 131213.0]
[4811.9873, 'N', 300.9224, 'W', 131214.0]
[4811.9877, 'N', 300.9232, 'W', 131215.0]
[4811.988, 'N', 300.924, 'W', 131216.0]
[4811.9885, 'N', 300.9247, 'W', 131217.0]
[4811.9889, 'N', 300.9254, 'W', 131218.0]
[4811.9893, 'N', 300.9261, 'W', 131219.0]
[4811.9897, 'N', 300.9269, 'W', 131220.0]
[4811.9901, 'N', 300.9276, 'W', 131221.0]
[4811.9904, 'N', 300.9284, 'W', 131222.0]
[4811.9909, 'N', 300.9291, 'W', 131223.0]
[4811.9913, 'N', 300.9299, 'W', 131224.0]
[4811.9917, 'N', 300.9306, 'W', 131225.0]
[4811.992, 'N', 300.9313, 'W', 131226.0]
[4811.9925, 'N', 300.932, 'W', 131227.0]
[4811.9929, 'N', 300.9327, 'W', 131228.0]
[4811.9933, 'N', 300.9333, 'W', 131229.0]
[4811.9937, 'N', 300.934, 'W', 131230.0]
[4811.9942, 'N', 300.9346, 'W', 131231.0]
[4811.9946, 'N', 300.9351, 'W', 131232.0]
[4811.9951, 'N', 300.9357, 'W', 131233.0]
[4811.9956, 'N', 300.9362, 'W', 131234.0]
[4811.996, 'N', 300.9368, 'W', 131235.0]
[4811.9965, 'N', 300.9375, 'W', 131236.0]
[4811.997, 'N', 300.9381, 'W', 131237.0]
[4811.9975, 'N', 300.9387, 'W', 131238.0]
[4811.998, 'N', 300.9394, 'W', 131239.0]
[4811.9984, 'N', 300.94, 'W', 131240.0]
[4811.9989, 'N', 300.9407, 'W', 131241.0]
[4811.9994, 'N', 300.9413, 'W', 131242.0]
[4811.9999, 'N', 300.9419, 'W', 131243.0]
[4812.0003, 'N', 300.9425, 'W', 131244.0]
[4812.0008, 'N', 300.9433, 'W', 131245.0]
[4812.0013, 'N', 300.944, 'W', 131246.0]
[4812.0017, 'N', 300.9446, 'W', 131247.0]
[4812.0022, 'N', 300.9453, 'W', 131248.0]
[4812.0027, 'N', 300.946, 'W', 131249.0]
[4812.0032, 'N', 300.9466, 'W', 131250.0]
[4812.0036, 'N', 300.9473, 'W', 131251.0]
[4812.0041, 'N', 300.948, 'W', 131252.0]
[4812.0046, 'N', 300.9486, 'W', 131253.0]
[4812.005, 'N', 300.9493, 'W', 131254.0]
[4812.0055, 'N', 300.9499, 'W', 131255.0]
[4812.0059, 'N', 300.9506, 'W', 131256.0]
[4812.0064, 'N', 300.9513, 'W', 131257.0]
[4812.0068, 'N', 300.952, 'W', 131258.0]
[4812.0073, 'N', 300.9527, 'W', 131259.0]
[4812.0077, 'N', 300.9535, 'W', 131300.0]
[4812.0081, 'N', 300.9541, 'W', 131301.0]
[4812.0085, 'N', 300.9548, 'W', 131302.0]
[4812.009, 'N', 300.9555, 'W', 131303.0]
[4812.0094, 'N', 300.9561, 'W', 131304.0]
[4812.0099, 'N', 300.9568, 'W', 131305.0]
[4812.0103, 'N', 300.9575, 'W', 131306.0]
[4812.0107, 'N', 300.9583, 'W', 131307.0]
[4812.0112, 'N', 300.959, 'W', 131308.0]
[4812.0116, 'N', 300.9597, 'W', 131309.0]
[4812.0121, 'N', 300.9604, 'W', 131310.0]
[4812.0126, 'N', 300.9611, 'W', 131311.0]
[4812.0131, 'N', 300.9617, 'W', 131312.0]
[4812.0136, 'N', 300.9624, 'W', 131313.0]
[4812.0141, 'N', 300.963, 'W', 131314.0]
[4812.0145, 'N', 300.9637, 'W', 131315.0]
[4812.015, 'N', 300.9644, 'W', 131316.0]
[4812.0155, 'N', 300.9651, 'W', 131317.0]
[4812.0159, 'N', 300.9658, 'W', 131318.0]
[4812.0164, 'N', 300.9665, 'W', 131319.0]
[4812.0169, 'N', 300.9671, 'W', 131320.0]
[4812.0165, 'N', 300.969, 'W', 131400.0]
[4812.0164, 'N', 300.969, 'W', 131401.0]
[4812.0163, 'N', 300.969, 'W', 131402.0]
[4812.0157, 'N', 300.9685, 'W', 131403.0]
[4812.015, 'N', 300.9677, 'W', 131404.0]
[4812.0143, 'N', 300.9667, 'W', 131405.0]
[4812.0136, 'N', 300.9657, 'W', 131406.0]
[4812.013, 'N', 300.9648, 'W', 131407.0]
[4812.0123, 'N', 300.9638, 'W', 131408.0]
[4812.0117, 'N', 300.9628, 'W', 131409.0]
[4812.011, 'N', 300.9619, 'W', 131410.0]
[4812.0104, 'N', 300.9609, 'W', 131411.0]
[4812.0098, 'N', 300.9599, 'W', 131412.0]
[4812.0092, 'N', 300.9588, 'W', 131413.0]
[4812.0085, 'N', 300.9578, 'W', 131414.0]
[4812.0079, 'N', 300.9568, 'W', 131415.0]
[4812.0071, 'N', 300.9559, 'W', 131416.0]
[4812.0065, 'N', 300.955, 'W', 131417.0]
[4812.0058, 'N', 300.9541, 'W', 131418.0]
[4812.0051, 'N', 300.9533, 'W', 131419.0]
[4812.0045, 'N', 300.9525, 'W', 131420.0]
[4812.0038, 'N', 300.9516, 'W', 131421.0]
[4812.0031, 'N', 300.9507, 'W', 131422.0]
[4812.0024, 'N', 300.9498, 'W', 131423.0]
[4812.0017, 'N', 300.9489, 'W', 131424.0]
[4812.001, 'N', 300.9481, 'W', 131425.0]
[4812.0002, 'N', 300.9472, 'W', 131426.0]
[4811.9995, 'N', 300.9464, 'W', 131427.0]
[4811.9987, 'N', 300.9456, 'W', 131428.0]
[4811.998, 'N', 300.9448, 'W', 131429.0]
[4811.9973, 'N', 300.9439, 'W', 131430.0]
[4811.9965, 'N', 300.9431, 'W', 131431.0]
[4811.9957, 'N', 300.9423, 'W', 131432.0]
[4811.995, 'N', 300.9415, 'W', 131433.0]
[4811.9942, 'N', 300.9406, 'W', 131434.0]
[4811.9935, 'N', 300.9398, 'W', 131435.0]
[4811.9928, 'N', 300.9389, 'W', 131436.0]
[4811.992, 'N', 300.9381, 'W', 131437.0]
[4811.9913, 'N', 300.9372, 'W', 131438.0]
[4811.9906, 'N', 300.9363, 'W', 131439.0]
[4811.9899, 'N', 300.9354, 'W', 131440.0]
[4811.9892, 'N', 300.9344, 'W', 131441.0]
[4811.9885, 'N', 300.9334, 'W', 131442.0]
[4811.9878, 'N', 300.9324, 'W', 131443.0]
[4811.9871, 'N', 300.9315, 'W', 131444.0]
[4811.9865, 'N', 300.9306, 'W', 131445.0]
[4811.9857, 'N', 300.9297, 'W', 131446.0]
[4811.985, 'N', 300.9288, 'W', 131447.0]
[4811.9843, 'N', 300.9279, 'W', 131448.0]
[4811.9837, 'N', 300.927, 'W', 131449.0]
[4811.9832, 'N', 300.9261, 'W', 131450.0]
[4811.9827, 'N', 300.9254, 'W', 131451.0]
[4811.9823, 'N', 300.9247, 'W', 131452.0]
[4811.9819, 'N', 300.9241, 'W', 131453.0]
[4811.9816, 'N', 300.9236, 'W', 131454.0]
[4811.9813, 'N', 300.9232, 'W', 131455.0]
[4811.9812, 'N', 300.923, 'W', 131456.0]
[4811.9808, 'N', 300.9225, 'W', 131457.0]
[4811.9802, 'N', 300.9217, 'W', 131458.0]
[4811.9795, 'N', 300.9209, 'W', 131459.0]
[4811.9789, 'N', 300.9201, 'W', 131500.0]
[4811.9782, 'N', 300.9192, 'W', 131501.0]
[4811.9776, 'N', 300.9183, 'W', 131502.0]
[4811.977, 'N', 300.9174, 'W', 131503.0]
[4811.9764, 'N', 300.9165, 'W', 131504.0]
[4811.9758, 'N', 300.9156, 'W', 131505.0]
[4811.9753, 'N', 300.9147, 'W', 131506.0]
[4811.9746, 'N', 300.9139, 'W', 131507.0]
[4811.9739, 'N', 300.9131, 'W', 131508.0]
[4811.9732, 'N', 300.9123, 'W', 131509.0]
[4811.9725, 'N', 300.9115, 'W', 131510.0]
[4811.9718, 'N', 300.9107, 'W', 131511.0]
[4811.9711, 'N', 300.9099, 'W', 131512.0]
[4811.9704, 'N', 300.9092, 'W', 131513.0]
[4811.9696, 'N', 300.9083, 'W', 131514.0]
[4811.9689, 'N', 300.9076, 'W', 131515.0]
[4811.9682, 'N', 300.9068, 'W', 131516.0]
[4811.9675, 'N', 300.906, 'W', 131517.0]
[4811.9668, 'N', 300.9052, 'W', 131518.0]
[4811.9661, 'N', 300.9044, 'W', 131519.0]
[4811.9654, 'N', 300.9035, 'W', 131520.0]
[4811.9647, 'N', 300.9027, 'W', 131521.0]
[4811.964, 'N', 300.9019, 'W', 131522.0]
[4811.9633, 'N', 300.901, 'W', 131523.0]
[4811.9626, 'N', 300.9001, 'W', 131524.0]
[4811.9619, 'N', 300.8993, 'W', 131525.0]
[4811.9612, 'N', 300.8985, 'W', 131526.0]
[4811.9605, 'N', 300.8976, 'W', 131527.0]
[4811.9598, 'N', 300.8968, 'W', 131528.0]
[4811.9591, 'N', 300.8959, 'W', 131529.0]
[4811.9584, 'N', 300.8951, 'W', 131530.0]
[4811.9577, 'N', 300.8943, 'W', 131531.0]
[4811.957, 'N', 300.8935, 'W', 131532.0]
[4811.9563, 'N', 300.8926, 'W', 131533.0]
[4811.9556, 'N', 300.8918, 'W', 131534.0]
[4811.9549, 'N', 300.891, 'W', 131535.0]
[4811.9542, 'N', 300.8901, 'W', 131536.0]
[4811.9536, 'N', 300.8893, 'W', 131537.0]
[4811.953, 'N', 300.8884, 'W', 131538.0]
[4811.9523, 'N', 300.8875, 'W', 131539.0]
[4811.9517, 'N', 300.8866, 'W', 131540.0]
[4811.9512, 'N', 300.8858, 'W', 131541.0]
[4811.9507, 'N', 300.8851, 'W', 131542.0]
[4811.9505, 'N', 300.8846, 'W', 131543.0]
[4811.9504, 'N', 300.8845, 'W', 131544.0]
[4811.9504, 'N', 300.8846, 'W', 131545.0]
[4811.9503, 'N', 300.8846, 'W', 131546.0]
[4811.9503, 'N', 300.8846, 'W', 131547.0]
[4811.9502, 'N', 300.8844, 'W', 131548.0]
[4811.9502, 'N', 300.8842, 'W', 131549.0]
[4811.9502, 'N', 300.8837, 'W', 131550.0]
[4811.9504, 'N', 300.8833, 'W', 131551.0]
[4811.9504, 'N', 300.8834, 'W', 131552.0]
[4811.9505, 'N', 300.8834, 'W', 131553.0]
[4811.9505, 'N', 300.8835, 'W', 131554.0]
[4811.9505, 'N', 300.8835, 'W', 131555.0]
[4811.9505, 'N', 300.8835, 'W', 131556.0]
[4811.9505, 'N', 300.8834, 'W', 131557.0]
[4811.9505, 'N', 300.8834, 'W', 131558.0]
[4811.9505, 'N', 300.8833, 'W', 131559.0]
[4811.9503, 'N', 300.8834, 'W', 131905.0]
[4811.9503, 'N', 300.8834, 'W', 131906.0]
[4811.9503, 'N', 300.8834, 'W', 131907.0]
[4811.9503, 'N', 300.8834, 'W', 131908.0]
[4811.9503, 'N', 300.8834, 'W', 131909.0]
[4811.9503, 'N', 300.8834, 'W', 131910.0]
[4811.9503, 'N', 300.8834, 'W', 131911.0]
[4811.9503, 'N', 300.8834, 'W', 131912.0]
[4811.9503, 'N', 300.8834, 'W', 131913.0]
[4811.9503, 'N', 300.8834, 'W', 131914.0]
[4811.9503, 'N', 300.8834, 'W', 131915.0]
[4811.9503, 'N', 300.8834, 'W', 131916.0]
[4811.9503, 'N', 300.8834, 'W', 131917.0]
[4811.9507, 'N', 300.8837, 'W', 131918.0]
[4811.951, 'N', 300.8842, 'W', 131919.0]
[4811.9513, 'N', 300.8845, 'W', 131920.0]
[4811.9518, 'N', 300.8845, 'W', 131921.0]
[4811.9523, 'N', 300.884, 'W', 131922.0]
[4811.9524, 'N', 300.8835, 'W', 131923.0]
[4811.9528, 'N', 300.8834, 'W', 131924.0]
[4811.9534, 'N', 300.8839, 'W', 131925.0]
[4811.954, 'N', 300.8843, 'W', 131926.0]
[4811.9546, 'N', 300.885, 'W', 131927.0]
[4811.9553, 'N', 300.8854, 'W', 131928.0]
[4811.9559, 'N', 300.8859, 'W', 131929.0]
[4811.9565, 'N', 300.8863, 'W', 131930.0]
