X,Y
-69.1319297869,-81.7109574962
-69.1319297869,-81.7109574962
-69.1254319996,-81.5876023602
-68.5345918946,-80.8765405652
-67.4973732699,-79.5705043452
-66.0592606915,-78.5329794193
-64.6146510616,-77.3720984694
-63.4329733271,-75.9499718998
-62.1133330874,-74.5351115511
-60.8001911491,-73.2436056712
-59.4935474033,-72.0754543747
-58.0489411484,-70.9145692228
-56.748796097,-69.8697718676
-55.4421541812,-68.7016182975
-54.2734759012,-67.5261971915
-53.0983008388,-66.2274198101
-51.9296237044,-65.0519973238
-50.760947125,-63.8765741643
-49.5922710998,-62.7011503317
-48.4170984291,-61.4023700878
-47.3863864206,-60.2196783531
-46.2177120661,-59.0442525088
-45.3184668226,-57.7309372853
-44.1497935606,-56.5555101441
-43.1125866072,-55.2494600854
-42.2133429898,-53.936143074
-41.1761371689,-52.6300917604
-40.1454288336,-51.4473957757
-39.1082241293,-50.1413431921
-38.0710200025,-48.8352899582
-37.1717791017,-47.5219699947
-36.1280793529,-46.0925594103
-35.22883958,-44.7792382565
-34.3231036654,-43.3425603952
-33.4173683701,-41.9058819218
-32.5246268744,-40.7159152383
-31.7763449354,-39.6420384664
-31.3234780207,-38.9236984788
-30.8965973817,-38.6987833319
-30.6336654434,-38.9600273926
-30.3707335358,-39.2212714839
-30.2197779408,-38.9818247386
-29.9373564115,-38.8730000259
-29.7993939249,-38.8802658031
-29.661431442,-38.8875315801
-29.6484383624,-38.6408190118
-29.4974828176,-38.4013722035
