X,Y
-68.326665258,-76.9291755664
-68.6415779544,-77.6547722153
-68.4241304118,-78.7795029337
-67.7668022215,-79.4326147488
-67.0509946914,-78.9755299957
-66.1777309198,-78.1556465825
-65.2914721202,-77.0890523214
-64.3987160986,-75.8991023313
-63.3679972915,-74.7164188745
-62.3372789919,-73.5337348276
-61.438026879,-72.2204278735
-60.4138070801,-71.1610980477
-59.2516245702,-70.1090345703
-58.2274056738,-69.0497036465
-57.1966898292,-67.8670167097
-56.303937573,-66.6770624243
-55.1352596562,-65.5016410658
-53.9665822946,-64.3262190341
-53.0608370127,-62.8895518557
-51.7541977912,-61.7213950772
-50.5855221357,-60.5459709999
-49.4168470334,-59.3705462494
-48.3731411872,-57.9411428878
-47.3359330585,-56.6350945852
-46.2922284836,-55.2056898327
-45.1300526783,-54.1536181788
-43.9613804072,-52.9781900517
-42.7927086903,-51.8027612517
-41.7684971699,-50.7434215165
-40.6128202174,-49.8147033769
-39.3191809952,-48.8932508302
